year,line,station,total_passenger,daily_avg_passenger
2025,경의선,일산,7433857,20366
2025,경인선,부천,22517765,61692
2025,경춘선,평내호평,4396197,12044
2025,공항철도 1호선,홍대입구,11376441,31168
2025,과천선,범계,20044776,54917
2025,분당선,야탑,18090780,49563
2025,서해선,원종,3536876,9690
2025,수인선,인하대,4879187,13367
2025,신림선,서울대벤처타운,6800125,18630
2025,안산선,중앙,13606480,37278
2025,우이신설선,북한산보국문,4355692,11933
2025,일산선,삼송,13447511,36842
2025,장항선,온양온천,3695609,10124
2025,중앙선,회기,18661160,51126
2026,1호선,서울역,17752983,147941
2026,2호선,잠실(송파구청),19280533,160671
2026,3호선,고속터미널,11913505,99279
2026,4호선,명동,9236383,76969
2026,5호선,광화문(세종문화회관),8044045,67033
2026,6호선,공덕,4345214,36210
2026,7호선,가산디지털단지,9385103,78209
2026,8호선,잠실(송파구청),5241620,43680
2026,9호선,신논현,7555293,62960
2026,9호선2~3단계,봉은사,5451974,45433
2026,경강선,경기광주,1857489,15479
2026,경부선,용산,11489554,95746
2026,경원선,의정부,4635829,38631
2026,경의선,일산,2375952,19799
2026,경인선,부천,7497769,62481
2026,경춘선,평내호평,1478301,12319
2026,공항철도 1호선,홍대입구,3938396,32819
2026,과천선,범계,6758905,56324
2026,분당선,야탑,6117483,50979
2026,서해선,원종,1210081,10084
2026,수인선,인하대,1654748,13789
2026,신림선,서울대벤처타운,2312884,19274
2026,안산선,중앙,4531030,37758
2026,우이신설선,북한산보국문,1446640,12055
2026,일산선,삼송,4513533,37612
2026,장항선,온양온천,1260340,10502
2026,중앙선,회기,6255269,52127
